PubmedID,Title,Publication Date,Authors,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40072029,Electroactive Dressing with Selective Sorption of Exudate Enables Treatment of Complicated Wound.,2025,"Yuanbin Wang, Qian Ma, Bingna Zheng, Wenxuan Xiong, Dongtian Miao, Yong Li, Rongkang Huang, Hui Wang, Dingcai Wu",None,None,N/A
40072011,Therapeutic Potential of GLP-1 Receptor Agonists in Metabolic Associated Steatotic Liver Disease.,2025,"Klaudia Nowak, Krzysztof Łupina, Anna Romac, Aleksandra Kalisz, Łucja Ilkiewicz, Jakub Janczura",None,None,N/A
40071807,4-phenylbutyric acid attenuates diabetes mellitus secondary to thiamine-responsive megaloblastic anaemia syndrome by modulating endoplasmic reticulum stress.,2025,"Yumei Qin, Xuan Zhang, Yuping Ye, Min Chen, Yuanyuan Qin, Faquan Lin",None,None,N/A
40071788,Automated Insulin Delivery in Pregnancies Complicated by Type 1 Diabetes.,2025,"Katrien Benhalima, Sarit Polsky",None,None,N/A
40071717,Performance of an Automated Insulin Delivery System in People Living With Type 2 Diabetes and Insulin Resistance: First Real-World Evidence in 26 427 Users.,2025,"Isabeau Thijs, Arcelia Arrieta, Javier Castañeda, Michael Joubert, Francesco Giorgino, Benedikt Voelker, Tim Van den Heuvel, Jeremy Basset-Sagarminaga, Goran Petrovski, John Shin, Robert Vigersky, Ohad Cohen","Isabeau Thijs, Arcelia Arrieta, Javier Castañeda, Benedikt Voelker, Tim Van den Heuvel, Jeremy Basset-Sagarminaga, Goran Petrovski, John Shin, Robert Vigersky, Ohad Cohen",None,N/A
40071575,Macromolecular Crowding Supports the Generation of Basal Membrane-Rich Pericyte-Based Cell Sheets Useful for Cell Therapy of Diabetic Wounds.,2025,"Andrea Rampin, Carlo Maria Ferdinando Caravaggi, Luigi Troisi, Gaia Spinetti","Andrea Rampin, Carlo Maria Ferdinando Caravaggi, Luigi Troisi, Gaia Spinetti",None,N/A
40071511,A Comprehensive Analysis of Market Forms and Analytical Methods for Metformin Formulations.,2025,"Saravana Muthu Kumar Pandian, Punniyakoti V Thanikachalam, Deviga Kaliyappan, Anandarajagopal Kalusalingam",None,"Saveetha College of Pharmacy, Saveetha Institute of Medical and Technical Sciences (SIMATS), Chennai, India., Department of Pharmaceutical Chemistry, Saveetha College of Pharmacy, Saveetha Institute of Medical and Technical Sciences (SIMATS), Chennai, India., School of Pharmacy, KPJ Healthcare University, Nilai, Negeri Sembilan, Malaysia.",N/A
40071370,"Analysis of the Correlation between Frailty Index, Clinical Characteristics, Use of Anti-Epileptic Drug, and Prognosis in Elderly Patients with Epilepsy.",2025,"Jianzhong Wang, Hengzhang Ma, Xiaodan Lin, Lixian Li, Zhixiong Zheng, Xiaohua Huang",None,None,N/A
40071249,The Association of the Metabolic Score for Insulin Resistance (METS-IR) with Prehypertension in Normoglycemic Individuals.,2024,"Methaq H Alogaili, Afnan A Alsallami",None,None,N/A
40071022,Melioidosis of the Parotid Gland: Lessons Learned from a Fatal Case.,2025,"Kamana Jyotsna Devi, R Kalaiarasi, G Sivaraman, Nayannika Lakra, Apurba Sankar Sastry","Kamana Jyotsna Devi, R Kalaiarasi, G Sivaraman, Nayannika Lakra, Apurba Sankar Sastry",None,N/A
40071020,Different Modalities in the Management of Post-COVID-19 Olfactory Dysfunction.,2025,"Ahmed Shehata El Sayed Saleh, Ayman Abdelaal Mohamady, Mostafa Gomaa Sobhey, Eslam Farid Abu Shady",None,None,N/A
40070978,[Hepatocellular carcinoma (HCC)].,2024,Stanislas Pol,None,None,N/A
40070869,Tβ4-exosome-loaded hemostatic and antibacterial hydrogel to improve vascular regeneration and modulate macrophage polarization for diabetic wound treatment.,2025,"Hua Yu, Bin Wang, Zihao Li, Kaibo Liu, Wanying Chen, Songyun Zhao, Yu Zhou, Gaoyi Wang, Yaqin Zhou, Yanming Chen, Housheng Chen, Yunning Lai, Quan Wang, Jingping Wang, Binting Ni, Dupiao Zhang, Chuanmeng Pan, Yucang He, Liqun Li",None,None,N/A
40070812,Impact of ,2025,"Nathella Pavan Kumar, Saravanan Munisankar, Bindu Dasan, Arul Nancy, Kannan Thiruvengadam, Kadar Moideen, Sujatha Nott, Vijay Viswanathan, Shanmugam Sivakumar, Syed Hissar, Hardy Kornfeld, Subash Babu","Kannan Thiruvengadam, Sujatha Nott, Vijay Viswanathan",None,N/A
40070726,Successful Primary Oral Isavuconazole Therapy in Acute Invasive Fungal Sinusitis with Triple Fungal Species and Multiple Comorbidities.,2025,"Nadia Fasal, Vikram Malleshappa, Mary Kurien, Deepak K Burad",None,None,N/A
40070691,Development of an enzyme-linked immunosorbent assay (ELISA) for determining neutrophil elastase (NE) - a potential useful marker of multi-organ damage observed in COVID-19 and post-Covid-19 (PCS).,2025,"Joanna Adamiec-Mroczek, Joanna Kluz, Sandra Chwałek, Maciej Rabczyński, Kinga Gostomska-Pampuch, Łukasz Lewandowski, Marta Misiuk-Hojło, Beata Ponikowska, Goutam Chourasia, Ilias Dumas, Andrzej Gamian, Żanna Fiodorenko-Dumas, Bogusława Konopska, Agnieszka Gola, Klaudia Konikowska, Daniel Strub, Agnieszka Bronowicka-Szydełko, Katarzyna Madziarska",None,None,N/A
40070679,Investigation of the Impact Factors and Efficacy of N-Butylphthalide (NBP) on Functional Outcomes Following Mechanical Thrombectomy in Stroke Patients.,2025,"Xinxing Wang, Doudou Shi, Yali Liu, Yifan Liu",None,None,N/A
40070644,Ruminococcus gnavus Bacteremia in a SARS-CoV-2 Patient With Diverticulosis.,2025,"Raquel Flores, Paula A Calvo, Constanca Antunes, Rodrigo Duarte, Graça Lérias",Constanca Antunes,None,N/A
40070639,Concomitant Graves' Disease and Ulcerative Colitis.,2025,"Paige Webeler, Pardis Abdollahi Zarandi, Mani Bashyam",None,None,N/A
40070635,Progressive Cutaneous Cholesterol Emboli Syndrome.,2025,"Elizabeth S Szumel, Samuel A Mickel-Hulse, Michael Contarino",None,None,N/A
40070624,Diagnosis of Aspergillus Osteomyelitis of the Clivus and Sella Turcica in a Patient With Type 2 Diabetes and a History of Prolonged Intranasal Corticosteroid Use.,2025,"Rushi Patel, Veronika Kholodovych, Miguel Tellado-Fente, Amy Vittor",None,None,N/A
40070620,Panton-Valentine Leukocidin in Necrotizing Pneumonia: A Case Report.,2025,"Carla A Costa, Hugo Inácio, Sara Trevas, Ângela Simas","Carla A Costa, Hugo Inácio, Sara Trevas, Ângela Simas",None,N/A
40070615,Right and Left Ventricle Thrombus in a 68-Year-Old Patient With Sepsis and Cardiomyopathy.,2025,"Batoul Chaaban, Abbas Rachid, Angela N Kanbar, Malek Mohammed, Hasan Kazma",None,None,N/A
40070588,Elevated body roundness index increases the risk of cardiovascular disease in Chinese patients with circadian syndrome.,2025,"Fenglin Zhang, Wenhua Shi, Jingwei Wen, Haiming Cao, Wenjing Xu, Taohua Lan, Wei Jiang, Xiankun Chen, Weihui Lu",None,None,N/A
40070580,"The role of periodontal treatment on the reduction of hemoglobinA1c, comparing with existing medication therapy: a systematic review and meta-analysis.",2025,"Yojiro Umezaki, Akiko Yamashita, Fusanori Nishimura, Toru Naito",None,None,N/A
40070573,Pharmacokinetics and pharmacodynamics of insulin lispro 25 versus the original preparation (Humalog,2025,"Mingxue Zhu, Yuan Chen, Lei Wan, Zhongping Li, Junliang Pu, Chengyong Tang",None,None,N/A
40070476,Association between serum A/G ratio and stroke: data from NHANES 2009-2020.,2025,"Xingle Tan, Cunming Lv, Chao Lu, Yanan Luo, Zhi-Gang Mei",None,"Third-Grade Pharmacological Laboratory on Chinese Medicine Approved by State Administration of Traditional Chinese Medicine, Medical College, China Three Gorges University, Yichang, China.",N/A
40070424,Manual therapy compared to surgery in the treatment of moderate carpal tunnel syndrome.,2024,"Przemysław T Wielemborek, Katarzyna Kapica-Topczewska, Marek Bielecki, Rafał Kułakowski, Dagmara Mirowska-Guzel, Jan Kochanowicz, Alina Kułakowska",None,"Chair and Department of Experimental and Clinical Pharmacology, Medical University of Warsaw, Warsaw, Poland.",N/A
40070337,A comparison of electrospinning and pressurized gyration: Production of empagliflozin-loaded polylactic acid/polycaprolactone fibrous patches.,2025,"Humeyra Betul Yekeler, Ilke Kabaoglu, Ece Guler, Manuel Pedro F Graça, Oguzhan Gunduz, Deepak M Kalaskar, Muhammet Emin Cam",None,"Department of Pharmacology, Faculty of Pharmacy, Marmara University, Istanbul 34854, Turkey.",N/A
40070336,Vaccine to Nano-Vaccine: Novel Technique to Treat Rheumatoid Arthritis.,2025,"Sandip Zine, Dhanashri Kadam, Pranita Lodha",None,"Department of Pharmaceutical Chemistry, SVKMs Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, India., Pharmaceutical Analysis, SVKMs Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, India.",N/A
40070263,Effects of CXCR1/2 Blockade with Ladarixin on Streptozotocin-Induced Type 1 Diabetes Mellitus and Peripheral Neuropathy and Retinopathy in Rat.,2025,"Serena Boccella, Andrea Maria Morace, Cristina Giorgio, Francesca Guida, Michela Perrone, Iolanda Manzo, Carmela Belardo, Meghan Jones, Sabatino Maione, Andrea Aramini, Marcello Allegretti, Livio Luongo, Laura Brandolini","Serena Boccella, Cristina Giorgio, Meghan Jones, Andrea Aramini, Marcello Allegretti, Laura Brandolini","Pharmacology Division, Department of Experimental Medicine, University of Campania ""L. Vanvitelli"", Naples, Italy.",N/A
40070258,The one-center experience comparing glucose monitoring in patients with gestational diabetes mellitus utilizing flash glucose monitoring (FGM) versus traditional self-blood glucose monitoring (SBGM).,2025,"Magdalena K Kwiatkowska, Marianna Kopka, Nina Cyganek, Bartlomiej Matejko, Magdalena Krawczyk, Przemyslaw Witek, Katarzyna Cyganek",None,None,N/A
40070195,Medical gas therapy in human diabetic wound healing.,2025,"Xin Yee Foo, Lai Kuan Lee",None,None,N/A
40070166,Fetal exposure to gestational diabetes severity and postnatal infant feeding in the first year of life associated with preadolescent obesity: a prospective cohort.,2025,"Baiyang Sun, Joan C Lo, Louise C Greenspan, Alexis S King, Jaimie N Davis, Myles S Faith, Patricia Wakimoto, Jami L Josefson, Tamanjit Basi, Charles P Quesenberry, Erin A Hudson, William Lowe, Boyd Metzger, Erica P Gunderson","Baiyang Sun, Joan C Lo, Louise C Greenspan, Alexis S King, Patricia Wakimoto, Tamanjit Basi, Charles P Quesenberry, Erica P Gunderson",None,N/A
40070069,The Role of Glycolipids and their Toxicity in the Context of Nanomaterials and Nanoparticles: A Review of the Literature.,2025,"Moyu Li, Wenjin Peng, Siwei Zhu, Xianyu Chen, Li Li, Xiaolan Li, Chengfu Yuan",None,None,N/A
40069923,An overview of obesity-related complications: The epidemiological evidence linking body weight and other markers of obesity to adverse health outcomes.,2025,Matthias Blüher,None,None,N/A
40069851,Adipose stromal cells increase insulin sensitivity and decrease liver gluconeogenesis in a mouse model of type 1 diabetes mellitus.,2025,"Hsiao-Chi Lai, Yen-Ju Lee, Pei-Hsuan Chen, Chia-Hua Tang, Lee-Wei Chen",None,None,N/A
40069849,Efficacy and safety of once-weekly semaglutide 2.4 mg for weight management in participants from China: A prespecified analysis of the STEP 7 randomized clinical trial.,2025,"Weijun Gu, Yibing Lu, Xinhua Ye, Guoyue Yuan, Dongmei Liu, Zewei Shen, Ning Zu, Yiming Mu","Dongmei Liu, Zewei Shen, Ning Zu","Novo Nordisk (China) Pharmaceuticals Co., Ltd., Beijing, China.",N/A
40069725,Single-cell analysis identifies MKI67,2025,"Keyi Zou, Xue Li, Bibo Ren, Fu Cheng, Jian Ye, Zelin Ou",None,None,N/A
40069657,Long-term cost-effectiveness of health behaviour intervention to manage type 2 diabetes in Nepal.,2025,"Padam Kanta Dahal, Corneel Vandelanotte, Lal Rawal, Rashidul Alam Mahumud, Grish Paudel, Melanie Lloyd, Yeji Baek, Biraj Karmacharya, Tomohiko Sugishita, Zanfina Ademi",None,"Health Economics and Policy Evaluation Research (HEPER) Group, Centre for Medicine Use and Safety, Faculty of Pharmacy and Pharmaceutical Sciences, Monash University, Melbourne, Australia.",N/A
40069525,Antibiotic potential and metabolic modulation of Bacillus velezensis VTRNT 01 in response to bacterial elicitors.,2025,"Thanh-Dung Nguyen, Huu-Nghia Duong, Thi-Pha Nguyen, Phu-Tho Nguyen, Huu-Hiep Nguyen, Thi-Tho Nguyen, Ha-Giang Pham, Dieu-Hien Truong, Huu-Thanh Nguyen",None,None,N/A
40069233,Medication time of metformin and sulfonylureas and incidence of cardiovascular diseases and mortality in type 2 diabetes: a pooled cohort analysis.,2025,"Mansour Bahardoust, Farzad Hadaegh, Yadollah Mehrabi, Ali Delpisheh, Davood Khalili",None,None,N/A
40069056,Atherogenic lipoproteins associate with loss of glycemic control in youth-onset type 2 diabetes: Results from the TODAY study.,2025,"Lorraine E Levitt Katz, Samuel S Gidding, James D Otvos, Kimberly L Drews, Fida Bacha, Steven Willi, Santica Marcovina, Siripoom McKay, Ruth S Weinstock, Unknown",Samuel S Gidding,None,N/A
40068966,"The Prevalence, Aetiology and Healing Trajectories of Hard-To-Heal Wounds in South Africa.",2025,"Patricia Joan Idensohn, Keenen Gilbert, Kiara Boodhoo, Kayla Howard, Mari van de Vyver",None,None,N/A
40068837,Pedunculoside inhibits cardiomyocyte inflammatory biomarkers via Nrf2/HO-1 pathway in high glucose-induced H9c2 cells and diabetic cardiomyopathy model rats.,2025,"Yuanben Lu, Jianqiang Meng, Dewen Zhu, Zhenhua Jiang, Hailiang Ma",None,None,N/A
40068791,Omega-3 polyunsaturated fatty acids attenuates cognitive impairment via the gut-brain axis in diabetes-associated cognitive dysfunction rats.,2025,"Hongying Huang, Tong Zhao, Weiwei Ma",None,None,N/A
40068774,Palmitic acid alters enhancers/super-enhancers near inflammatory and efferocytosis-associated genes in human monocytes.,2025,"Vinay Singh Tanwar, Marpadga A Reddy, Suchismita Dey, Vajir Malek, Linda Lanting, Zhuo Chen, Rituparna Ganguly, Rama Natarajan",None,None,N/A
40068707,"Host-directed therapy in diabetes and tuberculosis comorbidity, towards global TB elimination.",2025,"Steven G Smith, Ruth Bowness, Jacqueline M Cliff",None,"Centre for Inflammation Research and Translational Medicine, Department of Biosciences, Brunel University of London, United Kingdom., Centre for Inflammation Research and Translational Medicine, Department of Biosciences, Brunel University of London, United Kingdom. Electronic address: jacqueline.cliff@brunel.ac.uk.",N/A
40068482,Phenotypic Consensus Clustering and Treatment Heterogeneity Analysis in Critically Ill Patients with Comorbid Type 2 Diabetes Mellitus.,2025,"Xiujuan Chen, Jiaqi Sun, Huixian Li, Miao Lin, Xiaolan Mo, Huiying Liang",None,"Department of Pharmacy, Guangzhou Women and Children's Medical Center, Guangzhou Medical University, Guangzhou, China.",N/A
40068328,Oxidized protein aggregate lipofuscin impairs cardiomyocyte contractility via late-stage autophagy inhibition.,2025,"Sophia Walter, Steffen P Häseli, Patricia Baumgarten, Stefanie Deubel, Tobias Jung, Annika Höhn, Christiane Ott, Tilman Grune",None,None,N/A
40068305,Effect of non-surgical treatment in diabetes-associated periodontitis on immune/inflammatory and oxidative stress biomarkers: A pilot study.,2025,"Steffany Bernardo Oliveira, Ana Luíza Pereira Assunção Silveira, Yeon Jung Kim, Jônatas Bussador do Amaral, André Luis Lacerda Bachi, Margareth Afonso Torres, Karen Melissa Gonçalves Oliveira, Daniela Alves de Abreu, Leonardo Diniz Resende, Débora Pallos, Carolina Nunes França",None,None,N/A
40068279,The protective effect of curcumin on the diabetic uterus: Quantitative and qualitative evaluation.,2025,"Ayşenur Kaya Mutlu, Kıymet Kübra Tüfekci, Süleyman Kaplan",None,None,N/A
40068211,Visual outcomes and adherence challenges in proliferative diabetic retinopathy anti-VEGF monotherapy in the clinical practice setting.,2025,"Jay R Maturi, Nick Boucher, Rusirini Fernando, Adrienne W Scott","Nick Boucher, Rusirini Fernando",None,N/A
40068172,Prescription Refill Adherence Before and After Patient Portal Registration in Among General Practice Patients in England Using the Clinical Practice Research Datalink: Longitudinal Observational Study.,2025,"Abrar Alturkistani, Thomas Beaney, Geva Greenfield, Ceire E Costelloe",None,None,N/A
40068039,Reducing polypharmacy through deprescribing in the emergency department.,2025,"Hsiu-Wu Yang, Ching-Hsiang Yu, Teng-Yi Huang, Chia-Hui Huang, Yu-Jang Su",None,"Department of Pharmacy, MacKay Memorial Hospital, Taipei, Taiwan.",N/A
40067970,Body Composition Differentiates Prediabetes Phenotype Clusters in the Diabetes Prevention Program Study.,2025,"Benjamin M Stroebel, Meghana Gadgil, Kimberly Lewis, Kayla Longoria, Li Zhang, Elena Flowers",None,None,N/A
40067908,Myeloid sirtuin 6 deficiency causes obesity in mice by inducing norepinephrine degradation to limit thermogenic tissue function.,2025,"Wei Wang, Jichao Liang, Yinliang Zhang, Junjun Wang, Xiaolei Miao, Yongsheng Chang, Yong Chen",None,"School of Pharmacy, Hubei University of Science and Technology, Xianning, Hubei, China.",N/A
40067804,Enhancing patient-centered care: Evaluating quality of life in type 2 diabetes management.,2025,"Branka Vlahovic, Vivek Jha, Vukasin Stojanovic, Tanja Vojinovic, Arshiya Dutta, Pinaki Dutta, Sanja Medenica",None,None,N/A
40067803,Cancer screening prevalence and preference among hospitalized women with and without diabetes mellitus.,2025,"Margaret A Mallari, Amteshwar Singh, Jocelyn Shubella, Waseem Khaliq",None,None,N/A
40067743,Biaryl Phosphates and Phosphonates as Selective Inhibitors of the Transcription Factor STAT4.,2025,"Nadiya Brovchenko, Angela Berg, Sabine Schubert, Julian Gräb, Theresa Münzel, Christoph Protzel, Kalaiselvi Natarajan, Thorsten Berg",None,None,N/A
40067577,Canagliflozin Attenuates Podocyte Inflammatory Injury through Suppressing the TXNIP/NLRP3 Signaling Pathway in Diabetic Kidney Disease Mice.,2025,"Siyu Li, Jie Wang, Ying Chen, Yanlu Cheng, Yanan Wang, Nuowen Xu, Hao Wang, Li Wang, Yangfeng Chi, Xiaoxue Ye, Yanting Shi, Ji Fang, Xingmei Yao, Jiebo Huang, Qing Xia, Tianli Bai, Bingbing Zhu",Qing Xia,None,N/A
40067575,Inverse L-shaped association of triglyceride glucose index with all-cause and cerebral cardiovascular-related mortality in osteoarthritis patients: a cohort of 4145 patients.,2025,"Zitian Zheng, Meng Yang, Zhiyu Zhang, Yucheng Zhu, Hongjie Huang, Jianquan Wang",None,None,N/A
40067569,Clinical heterogeneity and treatment outcomes of extrapulmonary tuberculosis in a low-incidence setting: insights from a prospective cohort study.,2025,"Angela Klingmüller, Marie Feldmann, Samuel Rohr, Lea Helmhold, Lena Junker, Margarete Scherer, Jörg-Janne Vehreschild, Kirsten Schmidt-Hellerau, Ada Hoffmann, Jonathan Jantsch, Alexander Simonis, Victor Suárez, Dominic Rauschning, Natalie Funke, Jakob J Malin, Lena M Biehl, Philipp Schommers, Gerd Fätkenheuer, Clara Lehmann, Jan Rybniker, Isabelle Suárez","Victor Suárez, Natalie Funke",None,N/A
40067519,The action of injectable nanodispersion of Bixa orellana (Chronic-in®) on arthritis in diabetic rats: pharmacological and histopathological studies.,2025,"Lauana Gomes, Helison de Oliveira Carvalho, Gisele Rocha Lopes, Gabriel da Costa Furtado, Danna Emanuelle Santos Gonçalves, Nayara Nilcia Dias Colares, Adriana Maciel Ferreira, Crislany da Costa Furtado, Heitor Ribeiro da Silva, Abrahão Victor Tavares de L T Dos Santos, Aline Lopes do Nascimento, Tamiris Marques Lage, Irma Danielle Rodrigues Pedro, Thiago Afonso Teixeira, José Carlos Tavares Carvalho",None,None,N/A
40067490,Automated Insulin Delivery in Elderly with Type 1 Diabetes: A Prespecified Analysis of the Extension Phase.,2025,"Yogish C Kudva, Robert J Henderson, Lauren G Kanapka, Ruth S Weinstock, Michael R Rickels, Richard E Pratley, Naomi Chaytor, Kamille Janess, Donna Desjardins, Vishwanath Pattan, Amy J Peleckis, Anna Casu, Shafaq Raza Rizvi, Suzan Bzdick, Keri J Whitaker, Jorge L Jo Kamimoto, Kellee Miller, Craig Kollman, Roy W Beck, Unknown","Robert J Henderson, Lauren G Kanapka, Kamille Janess, Kellee Miller, Craig Kollman, Roy W Beck",None,N/A
40067457,Phenolic Preservatives Are Not the Sole Cause of Eosinophilic Infiltration at Infusion Pump Sites.,2025,"Priscila Silva Cunegundes, Kenneth Wood, Li Mao, Ulrike Menkes",None,"Department of Physiology, Integrative Biosciences Center (IBio), Wayne State University, Detroit, MI, United States.",N/A
40067419,Effects of tucidinostat in adult T-cell leukemia/lymphoma in clinical practice.,2025,"Ayako Kamiunten, Takuro Kameda, Masaaki Sekine, Hiroshi Kawano, Takanori Toyama, Keiichi Akizuki, Noriaki Kawano, Kouichi Maeda, Seiichi Sato, Masanori Takeuchi, Junzo Ishizaki, Koshiro Nagamine, Ayuka Kuroki, Ryoma Ikeda, Kengo Matsumoto, Masayoshi Karasawa, Yuki Tahira, Taisuke Uchida, Haruko Shimoda, Tomonori Hidaka, Kiyoshi Yamashita, Hideki Yamaguchi, Yoko Kubuki, Kazuya Shimoda, Kotaro Shide",None,None,N/A
40067290,Visual Deficits in Type 2 Diabetes Mellitus Without Retinopathy: From Retinal Structure to Higher-Level Visual Functions.,2025,"Sha Luo, Lin Xia, Yue Wang, Yong Tang, Jiong Dong, Rong Liu, Lixia Feng",None,None,N/A
40067169,Preoperative hemoglobin A1c as a predictor of lymph node metastasis in diabetic women with endometrial cancer.,2025,"Busra Korpe, Caner Kose, Kadriye Erdogan, Yaprak Engin-Ustun, Vakkas Korkmaz",None,None,N/A
40066830,Leveraging circulating DNase I Activity to Detect Silent Coronary Artery Disease among Hypertensive Diabetes Individuals.,2025,"Amit Babu, Chinnappa A Uthaiah, Preetam Narayan Wasnik, Neha Rani Verma, Matam Vijay-Kumar, Jessy Abraham","Amit Babu, Chinnappa A Uthaiah, Preetam Narayan Wasnik, Neha Rani Verma, Jessy Abraham","Department of Physiology and Pharmacology, University of Toledo College of Medicine and Life Sciences, Toledo, Ohio.",N/A
40066707,Investigating the Anti-Inflammatory Potential of SLC-0111: A Carbonic Anhydrase Inhibitor Targeting Cyclooxygenase-Mediated Inflammatory Pathways in a Carrageenan-Induced Rat Model.,2025,"Aslınur Doğan, Elif Merve Betül Yanılmaz, Gulcin Karakoc, Ali Parlar, Ebru Annaç, Nebih Lolak, Suleyman Akocak",None,"Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Adıyaman University, Adıyaman, Türkiye., Department of Pharmacology, Faculty of Pharmacy, Adıyaman University, Adıyaman, Türkiye., Department of Pharmacology, Faculty of Medicine, Adıyaman University, Adıyaman, Türkiye.",N/A
40066547,Immune-Related Adverse Event of Immunotherapy: Diabetes.,2025,"Qingqing Su, Lei Zhao, Joshua M Banfield, Zhi Lv, Yinling Jiang, Xuan Zhou, Yadi Zhang, Yujiang Fang, Yongsheng Wang",None,None,N/A
40066520,Awareness and perceived risk of type 2 diabetes among older adults with HIV: results from a qualitative study.,2025,"Kenya Alcantara, Rachel O'Conor, Mary Clare Masters, Sophia Svoboda, Reneaki Smith, Fangyu Yeh, Amisha Wallia, Stacy C Bailey, Allison P Pack",None,None,N/A
40066484,Co-Delivery of Morphologically Switchable Au Nanowire and Hemoglobin-Resveratrol Nanoparticles in the Microneedle for Diabetic Wound Healing Therapy.,2025,"Peng Ye, Yuan Yang, Mengzhe Liu, Jiaqi Meng, Jingyang Zhao, Jiawei Zhao, Jinghui Wang, Qianyun Lu, Jing Liu, Luying Wang, Jiandu Lei, Changlong Wang",None,"State Key Laboratory of Biopharmaceutical Preparation and Delivery, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China.",N/A
